valid_time,latitude,longitude,t2m,tp,u10,v10,sp,lai_hv,number,expver
2021-01-01,32.0,118.5,277.13235,0.00090768596,-0.0587101,-0.21560764,102137.734,2.3620605,0,0001
2021-01-01,32.0,118.6,277.12845,0.00090457906,-0.076776505,-0.18484592,102219.734,1.7478027,0,0001
2021-01-01,32.0,118.69999999999999,277.1382,0.0008963164,-0.096307755,-0.1618967,102373.734,0.75024414,0,0001
2021-01-01,32.0,118.79999999999998,277.105,0.0009057339,-0.09435463,-0.15750217,102361.734,0.18945312,0,0001
2021-01-01,32.0,118.9,277.18314,0.000928786,-0.07775307,-0.16433811,102191.734,2.395874,0,0001
2021-01-01,31.9,118.5,277.32376,0.00094038656,-0.08263588,-0.20535374,102418.734,0.6571045,0,0001
2021-01-01,31.9,118.6,277.30814,0.0009401109,-0.0977726,-0.17361546,102449.734,0.6654053,0,0001
2021-01-01,31.9,118.69999999999999,277.39212,0.0009383302,-0.11290932,-0.14334202,102446.734,2.4569092,0,0001
2021-01-01,31.9,118.79999999999998,277.37454,0.0009688999,-0.104120255,-0.14675999,102418.734,0.421875,0,0001
2021-01-01,31.9,118.9,277.3804,0.001001146,-0.0899601,-0.15799046,102443.734,1.8483887,0,0001
2021-01-01,31.8,118.5,277.39798,0.00095846166,-0.11290932,-0.21267796,102489.734,0.0,0,0001
2021-01-01,31.8,118.6,277.4097,0.0009611811,-0.12511635,-0.18240452,102311.734,1.0478516,0,0001
2021-01-01,31.8,118.69999999999999,277.37064,0.0009770732,-0.1290226,-0.16092014,102217.734,1.918457,0,0001
2021-01-01,31.8,118.79999999999998,277.40775,0.0010243099,-0.115839005,-0.16336155,102331.734,0.35339355,0,0001
2021-01-01,31.8,118.9,277.4976,0.0010728504,-0.09826088,-0.17849827,102561.734,2.137329,0,0001
2021-02-01,32.0,118.5,282.40643,0.0014223427,-1.0973835,0.020752907,101707.25,2.3741455,0,0001
2021-02-01,32.0,118.6,282.38885,0.0014396057,-1.0973835,0.047120094,101789.25,1.7614746,0,0001
2021-02-01,32.0,118.69999999999999,282.37714,0.001444918,-1.1134968,0.06616306,101941.25,0.75024414,0,0001
2021-02-01,32.0,118.79999999999998,282.34393,0.0014418595,-1.1188679,0.07202244,101932.25,0.18945312,0,0001
2021-02-01,32.0,118.9,282.3322,0.0014405557,-1.1134968,0.070557594,101768.25,2.4006348,0,0001
2021-02-01,31.9,118.5,282.58807,0.0014574908,-1.1496296,0.023194313,101979.25,0.6591797,0,0001
2021-02-01,31.9,118.6,282.5783,0.0014780507,-1.1432819,0.050538063,102011.25,0.6672363,0,0001
2021-02-01,31.9,118.69999999999999,282.62518,0.0014954925,-1.1408405,0.07690525,102010.25,2.45813,0,0001
2021-02-01,31.9,118.79999999999998,282.56854,0.0015130237,-1.1325397,0.078858376,101985.25,0.421875,0,0001
2021-02-01,31.9,118.9,282.5041,0.0015307785,-1.1222858,0.07544041,102012.25,1.8531494,0,0001
2021-02-01,31.8,118.5,282.67987,0.0015266807,-1.1750202,0.013428688,102047.25,0.0,0,0001
2021-02-01,31.8,118.6,282.6662,0.001559087,-1.164278,0.040284157,101874.25,1.0495605,0,0001
2021-02-01,31.8,118.69999999999999,282.60956,0.0015959822,-1.1501179,0.060303688,101784.25,1.920166,0,0001
2021-02-01,31.8,118.79999999999998,282.59784,0.0016078398,-1.1383991,0.06176853,101897.25,0.35339355,0,0001
2021-02-01,31.8,118.9,282.61346,0.0016116583,-1.1296101,0.055420876,102125.25,2.137329,0,0001
2021-03-01,32.0,118.5,284.57025,0.0027744514,-1.2357235,-0.2654152,101481.11,2.390747,0,0001
2021-03-01,32.0,118.6,284.5761,0.002757613,-1.2454891,-0.24930191,101562.11,1.7816162,0,0001
2021-03-01,32.0,118.69999999999999,284.59955,0.0027263355,-1.26795,-0.24393082,101712.11,0.75024414,0,0001
2021-03-01,32.0,118.79999999999998,284.5761,0.0027092588,-1.2840633,-0.24100113,101702.11,0.18945312,0,0001
2021-03-01,32.0,118.9,284.52728,0.0027065617,-1.2918758,-0.23611832,101540.11,2.4134521,0,0001
2021-03-01,31.9,118.5,284.72845,0.0029043895,-1.2855282,-0.28152847,101749.11,0.6636963,0,0001
2021-03-01,31.9,118.6,284.7265,0.0028931838,-1.2908993,-0.26150894,101781.11,0.670166,0,0001
2021-03-01,31.9,118.69999999999999,284.75775,0.002878521,-1.2996883,-0.24393082,101779.11,2.4642334,0,0001
2021-03-01,31.9,118.79999999999998,284.7187,0.00289527,-1.3011532,-0.23611832,101754.11,0.421875,0,0001
2021-03-01,31.9,118.9,284.68353,0.0029043374,-1.3011532,-0.23074722,101780.11,1.855835,0,0001
2021-03-01,31.8,118.5,284.81244,0.0029427377,-1.3065243,-0.29080582,101815.11,0.0,0,0001
2021-03-01,31.8,118.6,284.77728,0.0029511345,-1.3075008,-0.2678566,101643.11,1.0567627,0,0001
2021-03-01,31.8,118.69999999999999,284.72455,0.0029847664,-1.3050594,-0.2468605,101553.11,1.9273682,0,0001
2021-03-01,31.8,118.79999999999998,284.74603,0.003030364,-1.3055477,-0.23953629,101665.11,0.35339355,0,0001
2021-03-01,31.8,118.9,284.7929,0.0030528572,-1.3079891,-0.23855972,101891.11,2.137329,0,0001
2021-04-01,32.0,118.5,288.74292,0.0014683751,-0.834321,-0.29861164,101269.87,2.4124756,0,0001
2021-04-01,32.0,118.6,288.77808,0.0014917923,-0.8455515,-0.25222492,101347.87,1.8109131,0,0001
2021-04-01,32.0,118.69999999999999,288.83862,0.001527421,-0.86703587,-0.21511555,101494.87,0.75024414,0,0001
2021-04-01,32.0,118.79999999999998,288.81323,0.0015615819,-0.88266087,-0.17849445,101483.87,0.1899414,0,0001
2021-04-01,32.0,118.9,288.74878,0.0015996394,-0.89096165,-0.14284992,101322.87,2.4334717,0,0001
2021-04-01,31.9,118.5,288.92847,0.0014868227,-0.87045383,-0.30300617,101533.87,0.6694336,0,0001
2021-04-01,31.9,118.6,288.94214,0.0015048755,-0.87826633,-0.25320148,101564.87,0.6755371,0,0001
2021-04-01,31.9,118.69999999999999,288.99292,0.001525834,-0.88803196,-0.2058382,101561.87,2.4709473,0,0001
2021-04-01,31.9,118.79999999999998,288.95776,0.0015773696,-0.89340305,-0.17409992,101536.87,0.421875,0,0001
2021-04-01,31.9,118.9,288.93042,0.0016514657,-0.89389133,-0.14724445,101560.87,1.8618164,0,0001
2021-04-01,31.8,118.5,289.03003,0.0015163047,-0.868989,-0.32253742,101600.87,0.0,0,0001
2021-04-01,31.8,118.6,288.99487,0.0015358028,-0.87484837,-0.27273273,101431.87,1.0631104,0,0001
2021-04-01,31.8,118.69999999999999,288.9558,0.0015530286,-0.8816843,-0.22585773,101341.87,1.9320068,0,0001
2021-04-01,31.8,118.79999999999998,288.99097,0.0015639362,-0.8943796,-0.1902132,101451.87,0.35339355,0,0001
2021-04-01,31.8,118.9,289.05347,0.0016091017,-0.9031687,-0.16286945,101671.87,2.137329,0,0001
2021-05-01,32.0,118.5,294.81842,0.006386011,-0.22515011,0.62434196,100378.625,2.4172363,0,0001
2021-05-01,32.0,118.6,294.85358,0.0062149307,-0.24077511,0.6262951,100456.625,1.8164062,0,0001
2021-05-01,32.0,118.69999999999999,294.91608,0.0060838973,-0.26323605,0.64289665,100599.625,0.75024414,0,0001
2021-05-01,32.0,118.79999999999998,294.877,0.006084784,-0.2798376,0.6629162,100590.625,0.1899414,0,0001
2021-05-01,32.0,118.9,294.79108,0.0061555197,-0.29204464,0.67951775,100436.625,2.4387207,0,0001
2021-05-01,31.9,118.5,295.00592,0.006689868,-0.22466183,0.6419201,100638.625,0.6717529,0,0001
2021-05-01,31.9,118.6,295.01373,0.0065152934,-0.23735714,0.6394787,100669.625,0.6777344,0,0001
2021-05-01,31.9,118.69999999999999,295.04303,0.0063490784,-0.2515173,0.64045525,100668.625,2.472168,0,0001
2021-05-01,31.9,118.79999999999998,294.99615,0.0063444367,-0.26763058,0.64533806,100644.625,0.421875,0,0001
2021-05-01,31.9,118.9,294.96686,0.006398349,-0.28081417,0.65070915,100669.625,1.862915,0,0001
2021-05-01,31.8,118.5,295.127,0.007098294,-0.19341183,0.63264275,100705.625,0.0,0,0001
2021-05-01,31.8,118.6,295.07428,0.0069429865,-0.20659542,0.6253185,100543.625,1.0653076,0,0001
2021-05-01,31.8,118.69999999999999,295.0157,0.006818845,-0.22368526,0.61652946,100457.625,1.9331055,0,0001
2021-05-01,31.8,118.79999999999998,295.0313,0.006742715,-0.24565792,0.620924,100564.625,0.35339355,0,0001
2021-05-01,31.8,118.9,295.09186,0.0067414185,-0.2642126,0.6306896,100779.625,2.137329,0,0001
2021-06-01,32.0,118.5,298.56848,0.0042383755,-1.0673656,0.7153435,100021.695,2.4230957,0,0001
2021-06-01,32.0,118.6,298.59973,0.0043723295,-1.0737133,0.7324333,100097.695,1.8212891,0,0001
2021-06-01,32.0,118.69999999999999,298.66614,0.0045031765,-1.0932446,0.7568474,100239.695,0.75024414,0,0001
2021-06-01,32.0,118.79999999999998,298.62512,0.004637354,-1.1161938,0.7900505,100230.695,0.1899414,0,0001
2021-06-01,32.0,118.9,298.53137,0.0047702203,-1.1376781,0.82520676,100080.695,2.4377441,0,0001
2021-06-01,31.9,118.5,298.68372,0.0044299,-1.1249828,0.6865349,100274.695,0.6734619,0,0001
2021-06-01,31.9,118.6,298.68762,0.004565702,-1.1274242,0.7021599,100305.695,0.6772461,0,0001
2021-06-01,31.9,118.69999999999999,298.70325,0.0047004977,-1.1332836,0.7192497,100304.695,2.4735107,0,0001
2021-06-01,31.9,118.79999999999998,298.64075,0.004817196,-1.1474438,0.7402458,100282.695,0.421875,0,0001
2021-06-01,31.9,118.9,298.6095,0.004932129,-1.1630688,0.7636833,100307.695,1.8643799,0,0001
2021-06-01,31.8,118.5,298.74426,0.0048471102,-1.1440258,0.63575363,100339.695,0.0,0,0001
2021-06-01,31.8,118.6,298.672,0.0049359733,-1.1450024,0.6474724,100180.695,1.0661621,0,0001
2021-06-01,31.8,118.69999999999999,298.59192,0.0050022313,-1.1484203,0.657238,100097.695,1.9344482,0,0001
2021-06-01,31.8,118.79999999999998,298.59583,0.0051505426,-1.1611156,0.67676926,100203.695,0.35339355,0,0001
2021-06-01,31.8,118.9,298.65442,0.0053254524,-1.179182,0.7016716,100414.695,2.137329,0,0001
2021-07-01,32.0,118.5,300.5975,0.009225535,-0.8819113,0.5657978,99826.4,2.4550781,0,0001
2021-07-01,32.0,118.6,300.6815,0.009483504,-0.9073019,0.560915,99901.4,1.8579102,0,0001
2021-07-01,32.0,118.69999999999999,300.79672,0.009729999,-0.9444113,0.56677437,100040.4,0.75024414,0,0001
2021-07-01,32.0,118.79999999999998,300.8143,0.01021115,-0.99470425,0.5897236,100031.4,0.1899414,0,0001
2021-07-01,32.0,118.9,300.74008,0.010790276,-1.0484152,0.61950874,99882.4,2.458252,0,0001
2021-07-01,31.9,118.5,300.7811,0.009321059,-0.8662863,0.5736103,100075.4,0.6816406,0,0001
2021-07-01,31.9,118.6,300.84164,0.009609419,-0.88825893,0.5662861,100105.4,0.68237305,0,0001
2021-07-01,31.9,118.69999999999999,300.88266,0.00989377,-0.91364956,0.5614033,100104.4,2.4837646,0,0001
2021-07-01,31.9,118.79999999999998,300.869,0.01021311,-0.9541769,0.57556343,100081.4,0.421875,0,0001
